sample_id,state,latitude,longitude,rainfall_mm,rainfall_24h,rainfall_7d,soil_moisture,slope_degree,elevation_m,distance_to_fault_km,historical_events_count,distance_to_drainage_m,probability,landslide_occurred
NER_00000,Meghalaya,25.12251,90.62509,21.7,21.7,150.09,66.29,34.46,2044.0,9.03,4,22.7,0.349,0
NER_00001,Assam (Barak/Dima Hasao),25.10862,93.32497,6.92,230.37,411.84,93.89,24.99,766.7,13.11,2,104.0,0.9993,1
NER_00002,Arunachal Pradesh,28.31118,96.34277,4.62,15.46,51.7,44.66,40.58,2108.2,28.93,1,200.8,0.0116,0
NER_00003,Mizoram,23.90998,93.38227,39.2,94.94,426.51,95.4,41.1,566.7,3.83,1,449.1,0.9907,1
NER_00004,Mizoram,22.32485,92.65535,2.52,5.73,1.93,29.37,26.83,1770.5,6.51,2,462.6,0.0023,0
NER_00005,Arunachal Pradesh,27.13788,94.49539,32.93,183.08,405.87,88.95,41.15,3029.8,1.23,0,341.6,0.9985,1
NER_00006,Manipur,24.7681,93.16364,30.04,100.86,579.12,98.0,32.15,1156.2,7.9,3,137.1,0.9985,1
NER_00007,Meghalaya,25.71354,91.41091,4.0,21.9,15.8,26.25,28.77,1339.6,0.95,1,151.2,0.0053,0
NER_00008,Nagaland,26.715,94.26456,0.89,14.97,29.32,32.7,47.81,1622.1,1.41,5,639.2,0.0719,0
NER_00009,Nagaland,25.63101,93.75766,43.3,43.3,370.18,88.59,43.26,1352.3,10.53,3,954.0,0.9117,1
NER_00010,Assam (Barak/Dima Hasao),26.15011,93.80048,15.14,217.41,450.58,98.0,24.46,150.0,9.98,1,278.4,0.9991,1
NER_00011,Mizoram,21.9187,93.04941,40.34,124.22,396.87,93.3,30.73,1339.3,0.26,0,180.5,0.9874,1
NER_00012,Tripura (Jampui Hills),23.743,92.08378,1.35,1.35,39.21,22.12,16.66,698.2,8.61,1,132.4,0.0008,0
NER_00013,Meghalaya,25.32379,90.37063,4.68,208.8,486.45,98.0,23.06,1532.9,2.61,0,641.9,0.9985,1
NER_00014,Mizoram,22.33241,92.78277,24.42,191.42,426.17,98.0,29.92,1291.5,0.48,1,1055.1,0.9975,1
NER_00015,Tripura (Jampui Hills),23.6548,91.97802,10.34,128.14,541.87,98.0,31.61,497.2,6.25,2,14.7,0.9988,1
